model,n_components,n_splits,n,m,k,time
sk,10,1,10000,1,500,0.1927343920106068
sk,10,10000,10000,1,500,481.8888097489835
sk,10,1,10000,10,500,0.6096877630043309
sk,10,10000,10000,10,500,3083.140992727
sk,20,1,10000,1,500,0.383961057000306
sk,30,1,10000,1,500,0.538925515000301
sk,50,1,10000,1,500,0.8993592769993484
sk,100,1,10000,1,500,1.7544596559991987
sk,200,1,10000,1,500,3.4300453200003176
sk,500,1,10000,1,500,8.231237813999542
sk,20,1,10000,10,500,1.2046825039997202
sk,30,1,10000,10,500,1.7152136909999172
sk,50,1,10000,10,500,2.5382029529992
sk,100,1,10000,10,500,4.446280705999925
sk,200,1,10000,10,500,8.997756613000092
sk,500,1,10000,10,500,26.541843658999824
sk,30,1,10,1,500,0.0027361649999875
sk,30,1,100,1,500,0.0094251680002344
sk,30,1,1000,1,500,0.049496089999593
sk,30,1,10000,1,500,0.5260668050004824
sk,30,1,100000,1,500,4.879484715999752
sk,30,1,1000000,1,500,43.23828121799943
sk,30,1,10,10,500,0.0051544529997045
sk,30,1,100,10,500,0.0472263900001053
sk,30,1,1000,10,500,0.223190661999979
sk,30,1,10000,10,500,1.568664624000121
sk,30,1,100000,10,500,59.65523937199941
sk,30,1,1000000,10,500,636.2466903430004
sk,30,1,10000,1,30,0.0323230180001701
sk,30,1,10000,1,50,0.0594880640001065
sk,30,1,10000,1,100,0.098399309999877
sk,30,1,10000,1,500,0.503990841999439
sk,30,1,10000,1,1000,1.06163264099996
sk,30,1,10000,1,5000,4.715606132000175
sk,30,1,10000,1,10000,7.55188517500028
sk,30,1,10000,10,30,0.1039502140001786
sk,30,1,10000,10,50,0.3170942809992993
sk,30,1,10000,10,100,0.3963616490000277
sk,30,1,10000,10,500,1.6708524519999628
sk,30,1,10000,10,1000,10.25260551700012
sk,30,1,10000,10,5000,122.55457919299988
sk,30,1,10000,10,10000,291.9931363270007
np1,10,1,10000,1,500,0.0282922929982305
np1,20,1,10000,1,500,0.0254951429997163
np1,30,1,10000,1,500,0.0357396889994561
np1,50,1,10000,1,500,0.0575057400019431
np1,100,1,10000,1,500,0.1144923109968658
np1,200,1,10000,1,500,0.2650037339990376
np1,500,1,10000,1,500,1.077820430000429
np1,30,1,10,1,500,0.0035715200028789
np1,30,1,100,1,500,0.0063633909994678
np1,30,1,1000,1,500,0.0093071930023143
np1,30,1,10000,1,500,0.0335456770008022
np1,30,1,100000,1,500,0.8221006140011013
np1,30,1,1000000,1,500,8.44086087300093
np1,30,1,10000,1,30,0.0086313399988284
np1,30,1,10000,1,50,0.0128539289980835
np1,30,1,10000,1,100,0.0146474339999258
np1,30,1,10000,1,500,0.0354511840014311
np1,30,1,10000,1,1000,0.1084748309986025
np1,30,1,10000,1,5000,0.7698168780007109
np1,30,1,10000,1,10000,1.5100300060003065
np1,10,1,10000,10,500,0.0287149120013054
np1,20,1,10000,10,500,0.0285508000015397
np1,30,1,10000,10,500,0.0400522199997794
np1,50,1,10000,10,500,0.0555443379998905
np1,100,1,10000,10,500,0.118983283999114
np1,200,1,10000,10,500,0.2757587380001496
np1,500,1,10000,10,500,1.080385589000798
np1,30,1,10,10,500,0.0046442759994533
np1,30,1,100,10,500,0.00830904599934
np1,30,1,1000,10,500,0.0118474259979848
np1,30,1,10000,10,500,0.0390885669985436
np1,30,1,100000,10,500,0.8213651980004215
np1,30,1,1000000,10,500,8.418709229001252
np1,30,1,10000,10,30,0.0132607460000144
np1,30,1,10000,10,50,0.029616255997098
np1,30,1,10000,10,100,0.0248742490002769
np1,30,1,10000,10,500,0.0383598080006777
np1,30,1,10000,10,1000,0.11690236999857
np1,30,1,10000,10,5000,0.7834515440008545
np1,30,1,10000,10,10000,1.5617745100025786
np2,10,1,10000,1,500,0.0669368710005073
jax1,10,1,10000,1,500,2.850088137998682
jax2,10,1,10000,1,500,2.4174978740011284
np2,20,1,10000,1,500,0.070278399001836
jax1,20,1,10000,1,500,3.256795921999583
jax2,20,1,10000,1,500,3.063774940001167
np2,30,1,10000,1,500,0.0776909129999694
jax1,30,1,10000,1,500,4.127460686999257
jax2,30,1,10000,1,500,3.8130472550001286
np2,50,1,10000,1,500,0.0790529559999413
jax1,50,1,10000,1,500,5.888724919001106
jax2,50,1,10000,1,500,5.242987173998699
np2,100,1,10000,1,500,0.1047861980005109
np2,200,1,10000,1,500,0.193939386997954
np2,500,1,10000,1,500,0.787515349999012
jax1,100,1,10000,1,500,11.4029962229979
jax1,200,1,10000,1,500,25.6140492409977
jax1,500,1,10000,1,500,108.06587946400032
jax2,100,1,10000,1,500,9.864700633999746
jax2,200,1,10000,1,500,21.71426913200048
jax2,500,1,10000,1,500,93.59749507300148
np2,30,1,10,1,500,0.0067988730152137
np2,30,1,100,1,500,0.0086379720014519
np2,30,1,1000,1,500,0.0169447720109019
np2,30,1,10000,1,500,0.0727790409873705
np2,30,1,100000,1,500,0.4946300590236205
np2,30,1,1000000,1,500,4.629072334006196
jax1,30,1,10,1,500,3.84893351100618
jax1,30,1,100,1,500,3.917531051003607
jax1,30,1,1000,1,500,3.923763289989438
jax1,30,1,10000,1,500,4.1430767529818695
jax1,30,1,100000,1,500,4.416061107011046
jax1,30,1,1000000,1,500,6.639812162000453
jax2,30,1,10,1,500,3.665415675000986
jax2,30,1,100,1,500,3.691951234010048
jax2,30,1,1000,1,500,3.693632922018878
jax2,30,1,10000,1,500,3.816359886986902
jax2,30,1,100000,1,500,4.266206753993174
jax2,30,1,1000000,1,500,8.38807047600858
np2,30,1,10000,1,30,0.0064911909867078
np2,30,1,10000,1,50,0.0083342709986027
np2,30,1,10000,1,100,0.010496385017177
np2,30,1,10000,1,500,0.0730400180036667
np2,30,1,10000,1,1000,0.0617205440066754
np2,30,1,10000,1,5000,0.745621988986386
np2,30,1,10000,1,10000,2.870355071994709
jax1,30,1,10000,1,30,3.878971615980845
jax1,30,1,10000,1,50,4.063475497998297
jax1,30,1,10000,1,100,4.0799086109909695
jax1,30,1,10000,1,500,4.106637465010863
jax1,30,1,10000,1,1000,4.385414029005915
jax1,30,1,10000,1,5000,4.566065654013073
jax1,30,1,10000,1,10000,4.97597986299661
np2,10,1,10000,10,500,0.0687553280149586
np2,20,1,10000,10,500,0.0729203379887621
np2,30,1,10000,10,500,0.0744124560151249
np2,50,1,10000,10,500,0.0823046150035224
np2,100,1,10000,10,500,0.1109059739974327
np2,200,1,10000,10,500,0.207720504986355
np2,500,1,10000,10,500,0.8213509219931439
jax1,10,1,10000,10,500,2.9192340100125875
jax1,20,1,10000,10,500,3.804121006018249
jax1,30,1,10000,10,500,4.88244905800093
jax1,50,1,10000,10,500,7.2150645990041085
jax1,100,1,10000,10,500,14.287466384994332
jax1,200,1,10000,10,500,32.49324756397982
jax1,500,1,10000,10,500,145.00557252697763
diffjax1,10,1,10000,1,500,2.5499759039958008
diffjax1,20,1,10000,1,500,3.3927595719869714
diffjax1,30,1,10000,1,500,4.220879430009518
diffjax1,50,1,10000,1,500,6.099218115996337
diffjax1,100,1,10000,1,500,11.646145609993257
diffjax1,200,1,10000,1,500,26.49075114299194
diffjax1,500,1,10000,1,500,110.86087501098518
diffjax1,30,1,10,1,500,3.984252432011999
diffjax1,30,1,100,1,500,4.056453969998984
diffjax1,30,1,1000,1,500,4.009229382994818
diffjax1,30,1,10000,1,500,4.210764958988875
diffjax1,30,1,100000,1,500,4.532787536998512
diffjax1,30,1,1000000,1,500,6.763060644996585
